game_id,pitcher_id,game_date,side,actual_k,projected_strikeouts,prediction_baseline,prediction_dynamic_starts,prediction_dynamic_appearances,prediction_hybrid
"822696","676917","2026-08-13","home","10","5.98","5.6407310717602925","5.986041185006018","5.521355856297207","5.44525976303651"
"822776","453286","2026-08-13","home","4","3.62","3.788294785403912","4.563969275935394","5.161674504519893","3.8707002456350326"
"823096","693433","2026-08-26","home","5","5.72","6.566306996731772","5.880679952955455","5.622117783230008","6.027669265127004"
"823096","666200","2026-08-26","away","9","7.5","7.443780363101814","8.18736611139891","8.24971449060095","8.502846007545136"
"823180","657277","2026-08-26","home","6","4.83","4.161984809308201","0.4155862094845961","2.389730005081826","1.1666050231413094"
"823180","666157","2026-08-26","away","5","4.6","3.837245330979924","3.94019758208244","5.703116160012204","6.004448570694413"
"823255","681190","2026-08-26","home","2","2.91","1.5611654438835956","3.8911215769982244","0.9938933271496948","1.6260422688310952"
"823255","696149","2026-08-26","away","3","4.68","4.835376916107804","4.0095185790500825","4.770710575401544","4.1438483346542005"
"823988","680570","2026-08-26","home","4","5.14","4.690452936676718","5.01993546803411","5.656313959785174","5.921168020162314"
"823988","676282","2026-08-26","away","1","4.84","4.737735787000057","5.391986231238725","5.11491542923898","5.683000869123395"
"825039","593958","2026-08-26","home","9","4.84","4.786334906112782","2.696479187941477","5.290419692464614","4.071715711446633"
"825039","571510","2026-08-26","away","5","4.92","2.9576314687015905","4.14799883645513","3.130414789432924","4.024223348009565"
